  1100.00, 0.34394385E+00, 0.34460034E+00
  1110.00, 0.34374335E+00, 0.34441140E+00
  1120.00, 0.34354367E+00, 0.34422323E+00
  1130.00, 0.34334481E+00, 0.34403580E+00
  1140.00, 0.34314675E+00, 0.34384911E+00
  1150.00, 0.34294948E+00, 0.34366315E+00
  1160.00, 0.34275300E+00, 0.34347791E+00
  1170.00, 0.34255730E+00, 0.34329337E+00
  1180.00, 0.34236236E+00, 0.34310954E+00
  1190.00, 0.34216818E+00, 0.34292640E+00
  1200.00, 0.34197475E+00, 0.34274393E+00
  1210.00, 0.34178207E+00, 0.34256215E+00
  1220.00, 0.34159011E+00, 0.34238103E+00
  1230.00, 0.34139888E+00, 0.34220056E+00
  1240.00, 0.34120836E+00, 0.34202075E+00
  1250.00, 0.34101856E+00, 0.34184158E+00
  1260.00, 0.34082945E+00, 0.34166304E+00
  1270.00, 0.34064104E+00, 0.34148513E+00
  1280.00, 0.34045331E+00, 0.34130784E+00
  1290.00, 0.34026627E+00, 0.34113116E+00
  1300.00, 0.34007989E+00, 0.34095508E+00
  1310.00, 0.33989418E+00, 0.34077960E+00
  1320.00, 0.33970912E+00, 0.34060472E+00
  1330.00, 0.33952472E+00, 0.34043042E+00
  1340.00, 0.33934096E+00, 0.34025669E+00
  1350.00, 0.33915784E+00, 0.34008354E+00
  1360.00, 0.33897534E+00, 0.33991095E+00
  1370.00, 0.33879348E+00, 0.33973893E+00
  1380.00, 0.33861223E+00, 0.33956745E+00
  1390.00, 0.33843159E+00, 0.33939652E+00
  1400.00, 0.33825156E+00, 0.33922614E+00
  1410.00, 0.33807213E+00, 0.33905628E+00
  1420.00, 0.33789329E+00, 0.33888696E+00
  1430.00, 0.33771504E+00, 0.33871816E+00
  1440.00, 0.33753737E+00, 0.33854988E+00
  1450.00, 0.33736029E+00, 0.33838211E+00
  1460.00, 0.33718377E+00, 0.33821486E+00
  1470.00, 0.33700782E+00, 0.33804810E+00
  1480.00, 0.33683243E+00, 0.33788184E+00
  1490.00, 0.33665760E+00, 0.33771607E+00
  1500.00, 0.33648332E+00, 0.33755079E+00
  1510.00, 0.33630958E+00, 0.33738600E+00
  1520.00, 0.33613638E+00, 0.33722168E+00
  1530.00, 0.33596372E+00, 0.33705783E+00
  1540.00, 0.33579160E+00, 0.33689445E+00
  1550.00, 0.33561999E+00, 0.33673154E+00
  1560.00, 0.33544891E+00, 0.33656909E+00
  1570.00, 0.33527835E+00, 0.33640709E+00
  1580.00, 0.33510830E+00, 0.33624554E+00
  1590.00, 0.33493876E+00, 0.33608444E+00
  1600.00, 0.33476972E+00, 0.33592378E+00
  1610.00, 0.33460118E+00, 0.33576356E+00
  1620.00, 0.33443313E+00, 0.33560377E+00
  1630.00, 0.33426558E+00, 0.33544441E+00
  1640.00, 0.33409851E+00, 0.33528548E+00
  1650.00, 0.33393192E+00, 0.33512697E+00
  1660.00, 0.33376582E+00, 0.33496888E+00
  1670.00, 0.33360018E+00, 0.33481121E+00
  1680.00, 0.33343502E+00, 0.33465394E+00
  1690.00, 0.33327033E+00, 0.33449709E+00
  1700.00, 0.33310609E+00, 0.33434063E+00
  1710.00, 0.33294232E+00, 0.33418458E+00
  1720.00, 0.33277900E+00, 0.33402892E+00
  1730.00, 0.33261614E+00, 0.33387366E+00
  1740.00, 0.33245372E+00, 0.33371878E+00
  1750.00, 0.33229174E+00, 0.33356430E+00
  1760.00, 0.33213021E+00, 0.33341019E+00
  1770.00, 0.33196911E+00, 0.33325647E+00
  1780.00, 0.33180845E+00, 0.33310312E+00
  1790.00, 0.33164822E+00, 0.33295014E+00
  1800.00, 0.33148841E+00, 0.33279754E+00
  1810.00, 0.33132903E+00, 0.33264530E+00
  1820.00, 0.33117008E+00, 0.33249343E+00
  1830.00, 0.33101153E+00, 0.33234192E+00
  1840.00, 0.33085341E+00, 0.33219076E+00
  1850.00, 0.33069569E+00, 0.33203997E+00
  1860.00, 0.33053838E+00, 0.33188952E+00
  1870.00, 0.33038148E+00, 0.33173943E+00
  1880.00, 0.33022497E+00, 0.33158968E+00
  1890.00, 0.33006887E+00, 0.33144027E+00
  1900.00, 0.32991317E+00, 0.33129121E+00
  1910.00, 0.32975785E+00, 0.33114249E+00
  1920.00, 0.32960293E+00, 0.33099410E+00
  1930.00, 0.32944839E+00, 0.33084604E+00
  1940.00, 0.32929424E+00, 0.33069832E+00
  1950.00, 0.32914047E+00, 0.33055093E+00
  1960.00, 0.32898708E+00, 0.33040386E+00
  1970.00, 0.32883407E+00, 0.33025711E+00
  1980.00, 0.32868143E+00, 0.33011069E+00
  1990.00, 0.32852916E+00, 0.32996458E+00
  2000.00, 0.32837726E+00, 0.32981879E+00
  2010.00, 0.32822573E+00, 0.32967332E+00
  2020.00, 0.32807456E+00, 0.32952815E+00
  2030.00, 0.32792375E+00, 0.32938330E+00
  2040.00, 0.32777330E+00, 0.32923875E+00
  2050.00, 0.32762320E+00, 0.32909451E+00
  2060.00, 0.32747346E+00, 0.32895057E+00
  2070.00, 0.32732407E+00, 0.32880693E+00
  2080.00, 0.32717503E+00, 0.32866358E+00
  2090.00, 0.32702633E+00, 0.32852054E+00
  2100.00, 0.32687798E+00, 0.32837779E+00
  2110.00, 0.32672997E+00, 0.32823533E+00
  2120.00, 0.32658230E+00, 0.32809316E+00
  2130.00, 0.32643496E+00, 0.32795128E+00
  2140.00, 0.32628797E+00, 0.32780968E+00
  2150.00, 0.32614130E+00, 0.32766837E+00
  2160.00, 0.32599497E+00, 0.32752734E+00
  2170.00, 0.32584896E+00, 0.32738659E+00
  2180.00, 0.32570328E+00, 0.32724612E+00
  2190.00, 0.32555793E+00, 0.32710592E+00
  2200.00, 0.32541289E+00, 0.32696600E+00
  2210.00, 0.32526818E+00, 0.32682635E+00
  2220.00, 0.32512378E+00, 0.32668697E+00
  2230.00, 0.32497971E+00, 0.32654787E+00
  2240.00, 0.32483594E+00, 0.32640903E+00
  2250.00, 0.32469249E+00, 0.32627045E+00
  2260.00, 0.32454935E+00, 0.32613214E+00
  2270.00, 0.32440651E+00, 0.32599409E+00
  2280.00, 0.32426399E+00, 0.32585630E+00
  2290.00, 0.32412176E+00, 0.32571877E+00
  2300.00, 0.32397984E+00, 0.32558149E+00
  2310.00, 0.32383822E+00, 0.32544448E+00
  2320.00, 0.32369690E+00, 0.32530771E+00
  2330.00, 0.32355588E+00, 0.32517120E+00
  2340.00, 0.32341515E+00, 0.32503494E+00
  2350.00, 0.32327472E+00, 0.32489893E+00
  2360.00, 0.32313458E+00, 0.32476316E+00
  2370.00, 0.32299472E+00, 0.32462764E+00
  2380.00, 0.32285516E+00, 0.32449237E+00
  2390.00, 0.32271588E+00, 0.32435734E+00
  2400.00, 0.32257689E+00, 0.32422255E+00
  2410.00, 0.32243818E+00, 0.32408800E+00
  2420.00, 0.32229976E+00, 0.32395369E+00
  2430.00, 0.32216161E+00, 0.32381962E+00
  2440.00, 0.32202374E+00, 0.32368578E+00
  2450.00, 0.32188615E+00, 0.32355218E+00
