  610.000, 0.34537136E+03, 0.34720633E+03, 0.40088371E+00, 0.40301361E+00
  620.000, 0.34546938E+03, 0.34733186E+03, 0.40099748E+00, 0.40315932E+00
  630.000, 0.34546222E+03, 0.34745571E+03, 0.40098916E+00, 0.40330307E+00
  640.000, 0.34545456E+03, 0.34757784E+03, 0.40098027E+00, 0.40344483E+00
  650.000, 0.34544639E+03, 0.34769824E+03, 0.40097079E+00, 0.40358458E+00
  660.000, 0.34543769E+03, 0.34781687E+03, 0.40096069E+00, 0.40372228E+00
  670.000, 0.34542844E+03, 0.34793371E+03, 0.40094995E+00, 0.40385791E+00
  680.000, 0.34541861E+03, 0.34804874E+03, 0.40093854E+00, 0.40399142E+00
  690.000, 0.34540819E+03, 0.34816192E+03, 0.40092645E+00, 0.40412280E+00
  700.000, 0.34539715E+03, 0.34827323E+03, 0.40091363E+00, 0.40425199E+00
  710.000, 0.34538547E+03, 0.34838263E+03, 0.40090008E+00, 0.40437898E+00
  720.000, 0.34537313E+03, 0.34849009E+03, 0.40088576E+00, 0.40450371E+00
  730.000, 0.34536011E+03, 0.34859559E+03, 0.40087065E+00, 0.40462617E+00
  740.000, 0.34534639E+03, 0.34869909E+03, 0.40085472E+00, 0.40474630E+00
  750.000, 0.34533194E+03, 0.34880056E+03, 0.40083794E+00, 0.40486408E+00
  760.000, 0.34531674E+03, 0.34889997E+03, 0.40082031E+00, 0.40497947E+00
  770.000, 0.34530078E+03, 0.34899729E+03, 0.40080177E+00, 0.40509243E+00
  780.000, 0.34528402E+03, 0.34909249E+03, 0.40078233E+00, 0.40520293E+00
  790.000, 0.34526646E+03, 0.34918553E+03, 0.40076194E+00, 0.40531093E+00
  800.000, 0.34524806E+03, 0.34927639E+03, 0.40074058E+00, 0.40541639E+00
  810.000, 0.34522881E+03, 0.34936503E+03, 0.40071824E+00, 0.40551929E+00
  820.000, 0.34520869E+03, 0.34945144E+03, 0.40069488E+00, 0.40561958E+00
  830.000, 0.34518767E+03, 0.34953557E+03, 0.40067049E+00, 0.40571723E+00
  840.000, 0.34516574E+03, 0.34961740E+03, 0.40064503E+00, 0.40581221E+00
  850.000, 0.34514287E+03, 0.34969690E+03, 0.40061849E+00, 0.40590449E+00
  860.000, 0.34511905E+03, 0.34977404E+03, 0.40059084E+00, 0.40599404E+00
  870.000, 0.34509426E+03, 0.34984881E+03, 0.40056206E+00, 0.40608082E+00
  880.000, 0.34506847E+03, 0.34992117E+03, 0.40053213E+00, 0.40616481E+00
  890.000, 0.34504168E+03, 0.34999110E+03, 0.40050103E+00, 0.40624598E+00
  900.000, 0.34501385E+03, 0.35005857E+03, 0.40046873E+00, 0.40632429E+00
  910.000, 0.34498498E+03, 0.35012356E+03, 0.40043521E+00, 0.40639974E+00
  920.000, 0.34495504E+03, 0.35018606E+03, 0.40040046E+00, 0.40647228E+00
  930.000, 0.34492401E+03, 0.35024603E+03, 0.40036445E+00, 0.40654189E+00
