   0.272469E-19   3   3
   0.588618E-19   4   3
   0.155678E-18   5   3
   0.415621E-18   6   3
   0.108720E-17   7   3
   0.277135E-17   8   3
   0.686595E-17   9   3
   0.164911E-16  10   3
   0.382941E-16  11   3
   0.857009E-16  12   3
   0.184191E-15  13   3
   0.378649E-15  14   3
   0.741144E-15  15   3
   0.137411E-14  16   3
   0.239919E-14  17   3
   0.391925E-14  18   3
   0.594766E-14  19   3
   0.832170E-14  20   3
   0.106541E-13  21   3
   0.123967E-13  22   3
   0.130447E-13  23   3
   0.123906E-13  24   3
   0.106430E-13  25   3
   0.830754E-14  26   3
   0.593268E-14  27   3
   0.390535E-14  28   3
   0.238757E-14  29   3
   0.136526E-14  30   3
   0.734925E-15  31   3
   0.374592E-15  32   3
   0.181717E-15  33   3
   0.842819E-16  34   3
   0.375242E-16  35   3
   0.160945E-16  36   3
   0.667079E-17  37   3
   0.267952E-17  38   3
   0.104608E-17  39   3
   0.399321E-18  40   3
   0.153752E-18  41   3
   0.723593E-19  42   3
   0.588598E-19   3   4
   0.130405E-18   4   4
   0.353493E-18   5   4
   0.966374E-18   6   4
   0.258923E-17   7   4
   0.676400E-17   8   4
   0.171837E-16   9   4
   0.423456E-16  10   4
   0.100935E-15  11   4
   0.231967E-15  12   4
   0.512114E-15  13   4
   0.108154E-14  14   4
   0.217459E-14  15   4
   0.413990E-14  16   4
   0.741607E-14  17   4
   0.124127E-13  18   4
   0.192600E-13  19   4
   0.274705E-13  20   4
   0.357050E-13  21   4
   0.419535E-13  22   4
   0.442992E-13  23   4
   0.419390E-13  24   4
   0.356789E-13  25   4
   0.274373E-13  26   4
   0.192249E-13  27   4
   0.123801E-13  28   4
   0.738897E-14  29   4
   0.411931E-14  30   4
   0.216021E-14  31   4
   0.107223E-14  32   4
   0.506490E-15  33   4
   0.228775E-15  34   4
   0.992263E-16  35   4
   0.414761E-16  36   4
   0.167625E-16  37   4
   0.656860E-17  38   4
   0.250320E-17  39   4
   0.932890E-18  40   4
   0.350340E-18  41   4
   0.160753E-18  42   4
   0.155670E-18   3   5
   0.353484E-18   4   5
   0.981389E-18   5   5
   0.274529E-17   6   5
   0.752830E-17   7   5
   0.201386E-16   8   5
   0.524167E-16   9   5
   0.132405E-15  10   5
   0.323656E-15  11   5
   0.763095E-15  12   5
   0.172884E-14  13   5
   0.374743E-14  14   5
   0.773307E-14  15   5
   0.151048E-13  16   5
   0.277428E-13  17   5
   0.475526E-13  18   5
   0.754183E-13  19   5
   0.109642E-12  20   5
   0.144682E-12  21   5
   0.171692E-12  22   5
   0.181928E-12  23   5
   0.171653E-12  24   5
   0.144612E-12  25   5
   0.109552E-12  26   5
   0.753229E-13  27   5
   0.474641E-13  28   5
   0.276690E-13  29   5
   0.150488E-13  30   5
   0.769406E-14  31   5
   0.372230E-14  32   5
   0.171374E-14  33   5
   0.754600E-15  34   5
   0.319146E-15  35   5
   0.130139E-15  36   5
   0.513305E-16  37   5
   0.196419E-16  38   5
   0.731236E-17  39   5
   0.266301E-17  40   5
   0.976190E-18  41   5
   0.437015E-18  42   5
   0.415593E-18   3   6
   0.966339E-18   4   6
   0.274525E-17   5   6
   0.785220E-17   6   6
   0.220253E-16   7   6
   0.603027E-16   8   6
   0.160744E-15   9   6
   0.416099E-15  10   6
   0.104293E-14  11   6
   0.252269E-14  12   6
   0.586605E-14  13   6
   0.130548E-13  14   6
   0.276627E-13  15   6
   0.554767E-13  16   6
   0.104565E-12  17   6
   0.183743E-12  18   6
   0.298235E-12  19   6
   0.442503E-12  20   6
   0.593551E-12  21   6
   0.712015E-12  22   6
   0.757375E-12  23   6
   0.711913E-12  24   6
   0.593364E-12  25   6
   0.442264E-12  26   6
   0.297982E-12  27   6
   0.183508E-12  28   6
   0.104368E-12  29   6
   0.553270E-13  30   6
   0.275585E-13  31   6
   0.129878E-13  32   6
   0.582601E-14  33   6
   0.250028E-14  34   6
   0.103115E-14  35   6
   0.410222E-15  36   6
   0.157961E-15  37   6
   0.590432E-16  38   6
   0.214856E-16  39   6
   0.765039E-17  40   6
   0.274004E-17  41   6
